state,n,prevalence,p_upper,ci_95,cs_li_mean_cfu_g,sim_q95_cfu_g
Kentucky,5,1.000,1.000,"[0.511, 1.000]",9.818E-02,1.915E-01
South Carolina,5,1.000,1.000,"[0.511, 1.000]",9.786E-02,1.908E-01
Indiana,26,0.885,0.968,"[0.702, 0.968]",1.156E-01,1.723E-01
Louisiana,15,0.867,0.975,"[0.609, 0.975]",1.356E-01,2.300E-01
Delaware,5,0.800,0.980,"[0.360, 0.980]",9.763E-02,1.892E-01
Alabama,23,0.783,0.908,"[0.577, 0.908]",9.099E-02,1.341E-01
New York,12,0.750,0.917,"[0.462, 0.917]",8.722E-02,1.429E-01
Iowa,19,0.737,0.885,"[0.509, 0.885]",8.386E-02,1.264E-01
Minnesota,44,0.727,0.838,"[0.580, 0.838]",7.202E-02,9.550E-02
Ohio,22,0.727,0.871,"[0.516, 0.871]",7.589E-02,1.114E-01
Illinois,20,0.700,0.857,"[0.479, 0.857]",7.273E-02,1.080E-01
Maryland,10,0.700,0.897,"[0.392, 0.897]",8.080E-02,1.364E-01
Pennsylvania,19,0.684,0.848,"[0.458, 0.848]",7.064E-02,1.057E-01
North Dakota,30,0.667,0.809,"[0.487, 0.809]",6.309E-02,8.801E-02
Arkansas,14,0.643,0.838,"[0.386, 0.838]",7.267E-02,1.145E-01
Mississippi,5,0.600,0.884,"[0.229, 0.884]",5.793E-02,1.108E-01
Georgia,19,0.579,0.769,"[0.362, 0.769]",6.061E-02,9.043E-02
North Carolina,14,0.571,0.787,"[0.326, 0.787]",5.943E-02,9.350E-02
Texas,45,0.533,0.671,"[0.391, 0.671]",4.396E-02,5.852E-02
South Dakota,36,0.528,0.680,"[0.370, 0.680]",4.396E-02,6.029E-02
Kansas,2,0.500,0.905,"[0.095, 0.905]",7.343E-02,1.631E-01
Missouri,4,0.500,0.850,"[0.150, 0.850]",5.151E-02,1.034E-01
Wisconsin,2,0.500,0.905,"[0.095, 0.905]",7.331E-02,1.631E-01
Wyoming,9,0.444,0.734,"[0.188, 0.734]",5.713E-02,9.725E-02
Michigan,14,0.429,0.674,"[0.213, 0.674]",4.131E-02,6.612E-02
Tennessee,14,0.429,0.674,"[0.213, 0.674]",4.149E-02,6.647E-02
Connecticut,3,0.333,0.798,"[0.056, 0.798]",4.325E-02,9.283E-02
Massachusetts,3,0.333,0.798,"[0.056, 0.798]",4.328E-02,9.280E-02
Montana,24,0.292,0.494,"[0.147, 0.494]",2.850E-02,4.295E-02
Florida,11,0.273,0.571,"[0.092, 0.571]",3.284E-02,5.624E-02
Oklahoma,9,0.222,0.557,"[0.053, 0.557]",3.371E-02,5.982E-02
Utah,14,0.143,0.412,"[0.028, 0.412]",2.400E-02,4.094E-02
Oregon,17,0.118,0.356,"[0.020, 0.356]",1.899E-02,3.231E-02
Washington,9,0.111,0.457,"[0.000, 0.457]",2.577E-02,4.767E-02
Maine,12,0.083,0.375,"[0.000, 0.375]",2.352E-02,4.155E-02
New Mexico,17,0.059,0.289,"[0.000, 0.289]",1.565E-02,2.744E-02
Colorado,18,0.056,0.276,"[0.000, 0.276]",1.471E-02,2.572E-02
California,25,0.040,0.211,"[0.000, 0.211]",1.026E-02,1.801E-02
Arizona,8,0.000,0.372,"[0.000, 0.372]",2.183E-02,4.267E-02
Idaho,12,0.000,0.282,"[0.000, 0.282]",1.408E-02,2.739E-02
Nevada,3,0.000,0.617,"[0.000, 0.617]",4.338E-02,9.284E-02
New Jersey,3,0.000,0.617,"[0.000, 0.617]",4.331E-02,9.303E-02
